timing (s), n_cores, data_size
3.048170, 1, 1000000
3.036845, 1, 1000000
3.039792, 1, 1000000
3.028714, 1, 1000000
3.035333, 1, 1000000
3.020901, 1, 1000000
3.026196, 1, 1000000
3.017914, 1, 1000000
3.028014, 1, 1000000
3.021537, 1, 1000000
5.989814, 1, 2000000
5.944694, 1, 2000000
5.978468, 1, 2000000
5.960133, 1, 2000000
5.990856, 1, 2000000
5.961514, 1, 2000000
5.934565, 1, 2000000
5.948800, 1, 2000000
5.960584, 1, 2000000
5.955480, 1, 2000000
11.790080, 1, 4000000
11.821860, 1, 4000000
11.812960, 1, 4000000
11.840570, 1, 4000000
11.854830, 1, 4000000
11.850950, 1, 4000000
11.854630, 1, 4000000
11.832580, 1, 4000000
11.804410, 1, 4000000
11.840680, 1, 4000000
23.571340, 1, 8000000
23.662940, 1, 8000000
23.523580, 1, 8000000
23.725860, 1, 8000000
23.714190, 1, 8000000
23.645620, 1, 8000000
23.592220, 1, 8000000
23.654670, 1, 8000000
23.640770, 1, 8000000
23.760710, 1, 8000000
47.107810, 1, 16000000
47.038180, 1, 16000000
47.188490, 1, 16000000
47.002420, 1, 16000000
47.218440, 1, 16000000
46.929050, 1, 16000000
47.116310, 1, 16000000
47.321580, 1, 16000000
47.250950, 1, 16000000
47.108760, 1, 16000000
1.556588, 2, 1000000
1.552543, 2, 1000000
1.556265, 2, 1000000
1.552054, 2, 1000000
1.560450, 2, 1000000
1.556502, 2, 1000000
1.565035, 2, 1000000
1.556646, 2, 1000000
1.556466, 2, 1000000
1.552775, 2, 1000000
3.087651, 2, 2000000
3.038234, 2, 2000000
3.036414, 2, 2000000
3.029545, 2, 2000000
3.045418, 2, 2000000
3.035964, 2, 2000000
3.035796, 2, 2000000
3.027977, 2, 2000000
3.085446, 2, 2000000
3.039649, 2, 2000000
5.980138, 2, 4000000
5.983957, 2, 4000000
6.102231, 2, 4000000
5.978376, 2, 4000000
5.983864, 2, 4000000
6.003847, 2, 4000000
5.991208, 2, 4000000
6.002951, 2, 4000000
5.980100, 2, 4000000
6.009991, 2, 4000000
11.859170, 2, 8000000
11.938270, 2, 8000000
11.949040, 2, 8000000
11.874290, 2, 8000000
11.900920, 2, 8000000
11.867650, 2, 8000000
11.897350, 2, 8000000
12.035290, 2, 8000000
11.919470, 2, 8000000
11.937410, 2, 8000000
23.741190, 2, 16000000
23.679780, 2, 16000000
24.046060, 2, 16000000
23.586920, 2, 16000000
23.617300, 2, 16000000
23.639980, 2, 16000000
24.101610, 2, 16000000
23.647100, 2, 16000000
23.752040, 2, 16000000
23.791160, 2, 16000000
0.831299, 4, 1000000
0.832289, 4, 1000000
0.835729, 4, 1000000
0.835570, 4, 1000000
0.831982, 4, 1000000
0.834700, 4, 1000000
0.834741, 4, 1000000
0.831766, 4, 1000000
0.833758, 4, 1000000
0.855545, 4, 1000000
1.577084, 4, 2000000
1.578173, 4, 2000000
1.580481, 4, 2000000
1.575526, 4, 2000000
1.579339, 4, 2000000
1.579138, 4, 2000000
1.589952, 4, 2000000
1.583428, 4, 2000000
1.583199, 4, 2000000
1.580559, 4, 2000000
3.112562, 4, 4000000
3.083963, 4, 4000000
3.099111, 4, 4000000
3.067361, 4, 4000000
3.077819, 4, 4000000
3.066720, 4, 4000000
3.071306, 4, 4000000
3.091921, 4, 4000000
3.095949, 4, 4000000
3.107386, 4, 4000000
6.124734, 4, 8000000
6.058673, 4, 8000000
6.043474, 4, 8000000
6.046250, 4, 8000000
6.111571, 4, 8000000
6.034046, 4, 8000000
6.077135, 4, 8000000
